iter	Passed	Remaining
1568	104816	28792
1569	104870	28722
1570	104936	28655
1571	104989	28585
1572	105044	28514
1573	105099	28445
1574	105161	28376
1575	105214	28306
1576	105277	28238
1577	105334	28169
1578	105400	28102
1579	105460	28033
1580	105531	27968
1581	105597	27901
1582	105652	27831
1583	105706	27761
1584	105765	27692
1585	105826	27624
1586	105889	27556
1587	105951	27488
1588	106008	27419
1589	106074	27352
1590	106128	27282
1591	106197	27216
1592	106257	27148
1593	106316	27079
1594	106375	27010
1595	106437	26942
1596	106499	26874
1597	106561	26807
1598	106615	26737
1599	106673	26668
1600	106734	26600
1601	106792	26531
1602	106850	26462
1603	106916	26395
1604	106983	26329
1605	107045	26261
1606	107107	26193
1607	107164	26124
1608	107229	26057
1609	107293	25990
1610	107353	25922
1611	107410	25853
1612	107462	25783
1613	107533	25717
1614	107586	25647
1615	107645	25579
1616	107706	25511
1617	107760	25441
1618	107822	25373
1619	107884	25306
1620	107937	25236
1621	107995	25167
1622	108058	25100
1623	108125	25033
1624	108191	24967
1625	108257	24900
1626	108318	24832
1627	108380	24765
1628	108443	24697
1629	108504	24629
1630	108558	24560
1631	108628	24494
1632	108686	24426
1633	108739	24356
1634	108807	24290
1635	108859	24220
1636	108927	24154
1637	108986	24086
1638	109049	24018
1639	109106	23950
1640	109164	23881
1641	109229	23815
1642	109292	23747
1643	109351	23679
1644	109424	23614
1645	109489	23547
1646	109556	23481
1647	109620	23414
1648	109685	23347
1649	109759	23282
1650	109827	23216
1651	109894	23149
1652	109959	23082
1653	110026	23016
1654	110083	22947
1655	110149	22881
1656	110209	22813
1657	110267	22745
1658	110320	22675
1659	110379	22607
